dataset,ACC
ARAB,0.9822727272727273
AUS,0.9557894736842105
CHAR,0.9186864738076622
CMU,0.9310344827586207
ECG,0.7
JPVOW,0.9459459459459459
KICK,0.8
LIB,0.7166666666666667
NET,0.2209737827715356
UWAV,0.7897196261682243
WAF,0.9598214285714286
WALK,1.0
