A,B,ACC
0.01,0.01,0.6751368256450352
0.01,0.1,0.6770914777169664
0.01,1,0.23338545738858482
0.01,10,0.06098514464425332
0.1,0.01,0.8127443315089914
0.1,0.1,0.8311180609851446
0.1,1,0.06098514464425332
0.1,10,0.06098514464425332
1,0.01,0.910086004691165
1,0.1,0.6348709929632526
1,1,0.06098514464425332
1,10,0.06098514464425332
10,0.01,0.06098514464425332
10,0.1,0.06098514464425332
10,1,0.06098514464425332
10,10,0.06098514464425332
